"time","cohort","age","catatrans","obs_proportion","mx","my","catatransT","OD_proportion","OC_proportion","SD_proportion","SC_proportion","sqdif_OD","sqdif_OC","sqdif_SD","sqdif_SC"
2008,1980,28,"pI",0.256198347107438,"I","I","pI08",0.268062635974327,0.262741662544607,0.267613154244664,0.0652190211344322,0.000140761350316981,4.28149769102995e-05,0.000130297821980059,0.0364731029491036
2009,1980,29,"pI",0.255017709563164,"I","I","pI09",0.268058338958228,0.259738199560346,0.2674861917678,-0.126853932865604,0.000170058015019412,2.22830258134927e-05,0.000155463048487313,0.145825951291245
2010,1980,30,"pI",0.272727272727273,"I","I","pI10",0.268056810097183,0.256631353063779,0.267413418744812,-0.471945079243123,2.1813221179069e-05,0.000259078629813631,2.82370441469176e-05,0.554536911789121
2000,1981,19,"pI",0.30546955624355,"I","I","pI00",0.30546955624355,0.30546955624355,0.30546955624355,0.30546955624355,0,0,0,0
2001,1981,20,"pI",0.307533539731682,"I","I","pI01",0.294963704850361,0.302546540442042,0.294624911812099,0.307096274509804,0.000158000748943673,2.48701619148723e-05,0.00016663267476625,1.91200874264194e-07
2002,1981,21,"pI",0.297213622291022,"I","I","pI02",0.278607814141177,0.298541876798305,0.281745413697625,0.308484281421672,0.000346176096908844,1.76426003611943e-06,0.000239265477088845,0.000127027757239308
2003,1981,22,"pI",0.278637770897833,"I","I","pI03",0.269256983189579,0.293519989820559,0.272524193420377,0.309086326240745,8.79991780273317e-05,0.000221480440063956,3.73758295728559e-05,0.00092711452247038
2004,1981,23,"pI",0.248710010319917,"I","I","pI04",0.264148512268715,0.287557257373057,0.266441603654472,0.307896819913531,0.000238347342423018,0.00150910860360766,0.000314409402182036,0.00350307842987064
2005,1981,24,"pI",0.264189886480908,"I","I","pI05",0.261367226025988,0.28073986704321,0.262540657594087,0.303137659705685,7.96741204377088e-06,0.000273901856612565,2.71995592112541e-06,0.00151692903916865
2006,1981,25,"pI",0.260061919504644,"I","I","pI06",0.25985336643609,0.273161565270386,0.260072516079137,0.2917453960734,4.34943824034498e-08,0.000171600719187927,1.12287390985329e-10,0.00100384268748293
