"cohort","time","age","pG","pgg","pgi","pga","pI","pig","pii","pia","pA","pag","pai","paa"
1982,2004,22,0.255424063116371,0.194280078895464,0.0690335305719921,0.0138067061143984,0.420118343195266,0.0532544378698225,0.282051282051282,0.0867850098619329,0.324457593688363,0.00788954635108481,0.0690335305719921,0.223865877712032
1982,2005,23,0.284023668639053,0.193293885601578,0.0591715976331361,0.0029585798816568,0.407297830374753,0.0710059171597633,0.27120315581854,0.0779092702169625,0.308678500986193,0.019723865877712,0.0769230769230769,0.227810650887574
1982,2006,24,0.23767258382643,0.189349112426035,0.0818540433925049,0.0128205128205128,0.442800788954635,0.0384615384615385,0.297830374753452,0.0710059171597633,0.319526627218935,0.00986193293885602,0.0631163708086785,0.235700197238659
1982,2007,25,0.239644970414201,0.170611439842209,0.0591715976331361,0.00788954635108481,0.432938856015779,0.0601577909270217,0.30276134122288,0.0798816568047337,0.32741617357002,0.00887573964497041,0.0710059171597633,0.239644970414201
1982,2008,26,0.255424063116371,0.177514792899408,0.0532544378698225,0.00887573964497041,0.416173570019724,0.0631163708086785,0.293885601577909,0.0759368836291913,0.328402366863905,0.014792899408284,0.0690335305719921,0.243589743589744
1982,2009,27,0.257396449704142,0.191321499013807,0.0581854043392505,0.00591715976331361,0.398422090729783,0.0571992110453649,0.275147928994083,0.0838264299802761,0.344181459566075,0.00887573964497041,0.0650887573964497,0.254437869822485
1982,2010,28,0.248520710059172,0.187376725838264,0.0611439842209073,0.00887573964497041,0.387573964497041,0.0493096646942801,0.269230769230769,0.0798816568047337,0.363905325443787,0.0118343195266272,0.0571992110453649,0.275147928994083
1983,2000,17,0.41438032166509,NA,NA,NA,0.361400189214759,NA,NA,NA,0.224219489120151,NA,NA,NA
1983,2001,18,0.350047303689688,0.275307473982971,0.118259224219489,0.0208136234626301,0.408703878902554,0.0624408703878903,0.226111636707663,0.0728476821192053,0.241248817407758,0.0122989593188269,0.0643330179754021,0.147587511825922
1983,2002,19,0.286660359508042,0.229895931882687,0.11352885525071,0.00662251655629139,0.444654683065279,0.0501419110690634,0.277199621570483,0.0813623462630085,0.268684957426679,0.00662251655629139,0.053926206244087,0.180700094607379
1983,2003,20,0.287606433301798,0.207190160832545,0.0737937559129612,0.00567644276253548,0.424787133396405,0.0728476821192053,0.289498580889309,0.0823084200567644,0.287606433301798,0.0075685903500473,0.0614947965941343,0.199621570482498
1983,2004,21,0.262062440870388,0.198675496688742,0.0804162724692526,0.00851466414380322,0.41438032166509,0.0529801324503311,0.269631031220435,0.102175969725639,0.323557237464522,0.010406811731315,0.0643330179754021,0.21286660359508
1983,2005,22,0.271523178807947,0.19205298013245,0.0614947965941343,0.00851466414380322,0.428571428571429,0.0624408703878903,0.292336802270577,0.0596026490066225,0.299905392620624,0.0170293282876064,0.0747398297067171,0.231788079470199
1983,2006,23,0.258278145695364,0.204351939451277,0.0567644276253548,0.010406811731315,0.385998107852413,0.0520340586565752,0.275307473982971,0.101229895931883,0.355723746452223,0.00189214758751183,0.053926206244087,0.244087038789026
1983,2007,24,0.241248817407758,0.183538315988647,0.0662251655629139,0.00851466414380322,0.411542100283822,0.0454115421002838,0.276253547776727,0.0643330179754021,0.34720908230842,0.0122989593188269,0.0690633869441816,0.274361400189215
1983,2008,25,0.248817407757805,0.184484389782403,0.0520340586565752,0.00473036896877956,0.421002838221381,0.0558183538315989,0.280983916745506,0.0747398297067171,0.330179754020814,0.00851466414380322,0.0879848628192999,0.250709555345317
1983,2009,26,0.232734153263955,0.170293282876064,0.0719016083254494,0.00662251655629139,0.428571428571429,0.0520340586565752,0.294228949858089,0.0747398297067171,0.338694418164617,0.010406811731315,0.0624408703878903,0.257332071901608
1983,2010,27,0.250709555345317,0.169347209082308,0.0596026490066225,0.00378429517502365,0.402081362346263,0.065279091769158,0.282876064333018,0.0804162724692526,0.34720908230842,0.0160832544938505,0.0596026490066225,0.263008514664144
1984,2000,16,0.457692307692308,NA,NA,NA,0.363461538461538,NA,NA,NA,0.178846153846154,NA,NA,NA
1984,2001,17,0.417307692307692,0.340384615384615,0.103846153846154,0.0134615384615385,0.379807692307692,0.0673076923076923,0.224038461538462,0.0721153846153846,0.202884615384615,0.00961538461538462,0.0519230769230769,0.117307692307692
1984,2002,18,0.320192307692308,0.260576923076923,0.138461538461538,0.0182692307692308,0.425,0.0528846153846154,0.242307692307692,0.0846153846153846,0.254807692307692,0.00673076923076923,0.0442307692307692,0.151923076923077
1984,2003,19,0.321153846153846,0.2375,0.0740384615384615,0.00865384615384615,0.418269230769231,0.0653846153846154,0.275961538461538,0.0836538461538461,0.260576923076923,0.0182692307692308,0.0682692307692308,0.168269230769231
1984,2004,20,0.261538461538462,0.205769230769231,0.0942307692307692,0.0211538461538462,0.450961538461538,0.0442307692307692,0.295192307692308,0.0788461538461538,0.2875,0.0115384615384615,0.0615384615384615,0.1875
1984,2005,21,0.240384615384615,0.177884615384615,0.0769230769230769,0.00673076923076923,0.431730769230769,0.05,0.294230769230769,0.106730769230769,0.327884615384615,0.0125,0.0605769230769231,0.214423076923077
1984,2006,22,0.226923076923077,0.167307692307692,0.0586538461538462,0.0144230769230769,0.417307692307692,0.0480769230769231,0.295192307692308,0.0884615384615385,0.355769230769231,0.0115384615384615,0.0634615384615385,0.252884615384615
1984,2007,23,0.227884615384615,0.155769230769231,0.0605769230769231,0.0105769230769231,0.430769230769231,0.0596153846153846,0.271153846153846,0.0865384615384615,0.341346153846154,0.0125,0.0990384615384615,0.244230769230769
1984,2008,24,0.230769230769231,0.170192307692308,0.05,0.00769230769230769,0.414423076923077,0.0490384615384615,0.290384615384615,0.0913461538461538,0.354807692307692,0.0115384615384615,0.0740384615384615,0.255769230769231
1984,2009,25,0.2125,0.164423076923077,0.0596153846153846,0.00673076923076923,0.425,0.0403846153846154,0.292307692307692,0.0817307692307692,0.3625,0.00769230769230769,0.0730769230769231,0.274038461538462
1984,2010,26,0.235576923076923,0.160576923076923,0.0423076923076923,0.00961538461538462,0.4,0.0653846153846154,0.282692307692308,0.0769230769230769,0.364423076923077,0.00961538461538462,0.075,0.277884615384615
